A00,"Cholera"
A01,"Typhoid and paratyphoid fevers"
A010,"Typhoid fever"
A011,"Paratyphoid fever A"
A012,"Paratyphoid fever B"
A013,"Paratyphoid fever C"
A014,"Paratyphoid fever, unspecified"
A02,"Other salmonella infections"
A022,"Localized salmonella infections"
A028,"Other specified salmonella infections"
A029,"Salmonella infection, unspecified"
A03,"Shigellosis"
A04,"Other bacterial intestinal infections"
A047,"Enterocolitis due to Clostridium difficile"
A048,"Other specified bacterial intestinal infections"
A049,"Bacterial intestinal infection, unspecified"
A05,"Other bacterial foodborne intoxications, not elsewhere classified"
A06,"Amebiasis"
A068,"Amebic infection of other sites"
A069,"Amebiasis, unspecified"
A07,"Other protozoal intestinal diseases"
A08,"Viral and other specified intestinal infections"
A081,"Acute gastroenteropathy due to Norwalk agent and other small round viruses"
A082,"Adenoviral enteritis"
A083,"Other viral enteritis"
A084,"Viral intestinal infection, unspecified"
A088,"Other specified intestinal infections"
A09,"Infectious gastroenteritis and colitis, unspecified"
A15,"Respiratory tuberculosis"
A17,"Tuberculosis of nervous system"
A178,"Other tuberculosis of nervous system"
A179,"Tuberculosis of nervous system, unspecified"
A18,"Tuberculosis of other organs"
A180,"Tuberculosis of bones and joints"
A181,"Tuberculosis of genitourinary system"
A182,"Tuberculous peripheral lymphadenopathy"
A183,"Tuberculosis of intestines, peritoneum and mesenteric glands"
A184,"Tuberculosis of skin and subcutaneous tissue"
A185,"Tuberculosis of eye"
A186,"Tuberculosis of (inner) (middle) ear"
A187,"Tuberculosis of adrenal glands"
A188,"Tuberculosis of other specified organs"
A19,"Miliary tuberculosis"
A20,"Plague"
A21,"Tularemia"
A22,"Anthrax"
A23,"Brucellosis"
A24,"Glanders and melioidosis"
A25,"Rat-bite fevers"
A26,"Erysipeloid"
A27,"Leptospirosis"
A278,"Other forms of leptospirosis"
A279,"Leptospirosis, unspecified"
A28,"Other zoonotic bacterial diseases, not elsewhere classified"
A30,"Leprosy [Hansen's disease]"
A31,"Infection due to other mycobacteria"
A32,"Listeriosis"
A321,"Listerial meningitis and meningoencephalitis"
A327,"Listerial sepsis"
A328,"Other forms of listeriosis"
A329,"Listeriosis, unspecified"
A33,"Tetanus neonatorum"
A34,"Obstetrical tetanus"
A35,"Other tetanus"
A36,"Diphtheria"
A368,"Other diphtheria"
A369,"Diphtheria, unspecified"
A37,"Whooping cough"
A370,"Whooping cough due to Bordetella pertussis"
A371,"Whooping cough due to Bordetella parapertussis"
A378,"Whooping cough due to other Bordetella species"
A379,"Whooping cough, unspecified species"
A38,"Scarlet fever"
A39,"Meningococcal infection"
A395,"Meningococcal heart disease"
A398,"Other meningococcal infections"
A399,"Meningococcal infection, unspecified"
A40,"Streptococcal sepsis"
A41,"Other sepsis"
A410,"Sepsis due to Staphylococcus aureus"
A411,"Sepsis due to other specified staphylococcus"
A412,"Sepsis due to unspecified staphylococcus"
A413,"Sepsis due to Hemophilus influenzae"
A414,"Sepsis due to anaerobes"
A415,"Sepsis due to other Gram-negative organisms"
A418,"Other specified sepsis"
A419,"Sepsis, unspecified organism"
A42,"Actinomycosis"
A428,"Other forms of actinomycosis"
A429,"Actinomycosis, unspecified"
A43,"Nocardiosis"
A44,"Bartonellosis"
A46,"Erysipelas"
A48,"Other bacterial diseases, not elsewhere classified"
A485,"Other specified botulism"
A488,"Other specified bacterial diseases"
A49,"Bacterial infection of unspecified site"
A490,"Staphylococcal infection, unspecified site"
A491,"Streptococcal infection, unspecified site"
A492,"Hemophilus influenzae infection, unspecified site"
A493,"Mycoplasma infection, unspecified site"
A498,"Other bacterial infections of unspecified site"
A499,"Bacterial infection, unspecified"
A50,"Congenital syphilis"
A500,"Early congenital syphilis, symptomatic"
A501,"Early congenital syphilis, latent"
A502,"Early congenital syphilis, unspecified"
A503,"Late congenital syphilitic oculopathy"
A504,"Late congenital neurosyphilis [juvenile neurosyphilis]"
A505,"Other late congenital syphilis, symptomatic"
A506,"Late congenital syphilis, latent"
A507,"Late congenital syphilis, unspecified"
A509,"Congenital syphilis, unspecified"
A51,"Early syphilis"
A513,"Secondary syphilis of skin and mucous membranes"
A514,"Other secondary syphilis"
A515,"Early syphilis, latent"
A519,"Early syphilis, unspecified"
A52,"Late syphilis"
A520,"Cardiovascular and cerebrovascular syphilis"
A521,"Symptomatic neurosyphilis"
A522,"Asymptomatic neurosyphilis"
A523,"Neurosyphilis, unspecified"
A527,"Other symptomatic late syphilis"
A528,"Late syphilis, latent"
A529,"Late syphilis, unspecified"
A53,"Other and unspecified syphilis"
A54,"Gonococcal infection"
A540,"Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess"
A541,"Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess"
A542,"Gonococcal pelviperitonitis and other gonococcal genitourinary infection"
A543,"Gonococcal infection of eye"
A544,"Gonococcal infection of musculoskeletal system"
A545,"Gonococcal pharyngitis"
A546,"Gonococcal infection of anus and rectum"
A548,"Other gonococcal infections"
A549,"Gonococcal infection, unspecified"
A55,"Chlamydial lymphogranuloma (venereum)"
A56,"Other sexually transmitted chlamydial diseases"
A560,"Chlamydial infection of lower genitourinary tract"
A561,"Chlamydial infection of pelviperitoneum and other genitourinary organs"
A562,"Chlamydial infection of genitourinary tract, unspecified"
A563,"Chlamydial infection of anus and rectum"
A564,"Chlamydial infection of pharynx"
A568,"Sexually transmitted chlamydial infection of other sites"
A57,"Chancroid"
A58,"Granuloma inguinale"
A59,"Trichomoniasis"
A590,"Urogenital trichomoniasis"
A598,"Trichomoniasis of other sites"
A599,"Trichomoniasis, unspecified"
A60,"Anogenital herpesviral [herpes simplex] infections"
A600,"Herpesviral infection of genitalia and urogenital tract"
A601,"Herpesviral infection of perianal skin and rectum"
A609,"Anogenital herpesviral infection, unspecified"
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified"
A64,"Unspecified sexually transmitted disease"
A65,"Nonvenereal syphilis"
A66,"Yaws"
A67,"Pinta [carate]"
